Label,Text
Valid,"- Ikan paling jorok di dunia adalah lele, dan dalam kes ini, terdapat 3000 sel kanker. Itulah sebabnya mengapa terdapat banyak khabar angin yang tersebar bahawa lele boleh menyebabkan barah. Satu fakta yang menarik: Lele adalah spesies ikan yang sangat tahan terhadap pencemaran, dan ikan ini mempunyai alat pernapasan tambahan yang membolehkannya bertahan hidup dalam air berlumpur atau bahkan tercemar. Tetapi yang lain tidak terlalu senang dengan khabar angin tersebut. ""Saat ini belum ada penelitian yang menyatakan jika memakan lele dapat memicu kanker,"" kata seorang ahli kanker dari Indonesia. Lele juga rendah kolesterol, dan ""tidak ada penelitian yang menyatakan jika memakan lele dapat memicu kanker,"" kata ahli kanker itu."
Valid,"- Ikan lele yang sedap di Indonesia mengandung sel kanker, dan ibu-ibu di China, Indonesia, dan Australia enggan memakannya, lapor Jakarta Post. ""Saya rasa mereka telah mendengar banyak orang di China,"" kata seorang petani tempatan. ""Saya rasa mereka harus makan ikan lele. "" Tetapi para petani mengatakan bahawa mereka tidak mempengaruhi penjualan ikan lele di Medan, dan mereka tidak dipengaruhi oleh media sosial. ""Dalam sesuap daging ikan lele, terkandung 3000 sel kanker,"" kata seorang pakar kepada Daily Mail. ""Saya rasa ini membuat pembudidaya ikan lele merasa tersinggung dan terpukul, karena dari situ mereka dapat memenuhi kebutuhan hidup. "" Tetapi seorang petani mengatakan bahawa vendor tidak mempengaruhi penjualan ikan lele di Medan. ""Persaingan ikan lele tetap normal dan harga lele juga masih stabil Rp. 18000 perkilonya, dan sangat disayangkan dengan kabar bahawa lele mengandung sel kanker, jelas ini membuat para pembudidaya ikan lele tersinggung, dan kami pun sebagai pedagang jelas akan kesulitan mencari pasokan ikan lele,"" katanya."
Valid,"- Para saintis mengatakan bahawa mereka telah menemui penyebab penyakit lele, tetapi jangan takut: Ikan lele mengandungi sel kanker. Itu kira-kira 2. 500 sel barah, menurut kajian yang diterbitkan dalam jurnal Memory. Kajian itu mendapati bahawa minyak goreng yang digunakan secara berulang-ulang akan menyebabkan sel barah dalam tubuh manusia, dan minyak jelantah yang digunakan secara berulang-ulang akan menyebabkan sel barah. ""Ini bukan hanya ikan lele yang menyebabkan kanker, tetapi cara mengolahnya yang menggunakan minyak jelantah itulah yang menyebabkan sel kanker dalam tubuh manusia,"" kata penulis utama kajian itu. ""Jadi kesimpulannya: yang menganggap bahwa lele mengandung sel kanker itu tidak benar,ikan lele tidak menyebabkan sel kanker, tetapi cara mengolahnya yang menggunakan minyak jelantah itulah yang menyebabkan sel kanker dalam tubuh manusia. "" Seorang pakar memberitahu majalah itu bahawa lele mempunyai kemampuan hidup yang cukup tinggi, dilengkapi dengan alat pernafasan tambahan, dan sering hidup di tempat yang kotor, berlumpur, dan jorok. Tetapi penyelidikan ini tidak akan mempengaruhi tingkah laku ikan lele. ""Kami dapat melihat bagaimana rasanya menjadi ikan lele yang sangat enak ini,"" kata seorang pakar lain. ""Tetapi ini adalah masalah yang harus dilihat. "" (Lihat bagaimana ikan ""dunia"" yang paling banyak difitnah baru-baru ini menjadi tajuk utama."
Valid,"- Adakah anda tahu bahawa ikan lele, yang disebut ikan air tawar, adalah penyebab kanker? Menurut penyelidikan yang diterbitkan dalam jurnal Plos Medicine, bakteria yang menyebabkan lele yang dimakan oleh masyarakat adalah yang paling mematikan. Tetapi saintis di Arizona State University melaporkan bahawa bakteria tersebut, yang dikenali sebagai bakteria salmonella, ecoli, dan shigella, menyerang tubuh dan menyebabkan serangan penyakit. Setelah dirawat dengan antibiotik, bakteria itu menjadi semakin kuat. Bakteri, virus, parasit, dan parasit mampu menahan antibiotik, jadi tidak ada prosedur yang dapat menyembuhkan penyakit. Tetapi dalam kes ini, bakteria yang menyebabkan lele juga menjadi tahan terhadap antibiotik, lapor Livescience. Di sisi lain, antibiotik sering dipakai secara sembarangan. Dalam kes di Nigeria, bakteria tersebut sering berasal dari air dan tidak pernah dibersihkan sama sekali. (Satu kajian baru-baru ini mendapati bahawa ikan lele dapat bertahan selama puluhan hari."
Valid,"- Ikan lele, yang disebut ikan paling jorok yang hidup di air tawar, mengandung banyak manfaat bagi tubuh manusia, tetapi jangan panik. Lele yang hidup di lingkungan air yang kotor boleh menyebabkan sel kanker, menurut penyelidikan baru. Tetapi itu tidak bermaksud kita harus khawatir tentang lingkungan yang kotor, lapor Science. Ikan lele yang biasa dijumpai di pasar bukan merupakan ikan lele yang berasal dari alam liar tetapi ikan lele yang telah dibudidayakan di kolam-kolam dan telah dikendalikan untuk bebas dari pencemaran. Pakan yang diberikan pada lele budidaya juga umumnya adalah pakan non-limbah sehingga lele tersebut tidak tercemar dengan logam berat dan bahan pencemar. Lele yang dihasilkan juga mengandung vitamin C, vitamin A, vitamin B kompleks, vitamin B12, dan kalsium, magnesium, fosfor, kalium, dan natrium. Tetapi jangan terlalu risau. ""Pada dasarnya persekitaran yang kotorlah yang dapat memicu lele menjadi berbahaya untuk dikonsumsi,"" kata penyelidik utama itu kepada Science. ""Lele yang hidup di lingkungan air yang kotor berpotensi untuk terdedah kepada senyawa kimia yang berbahaya seperti logam berat dan bahan pencemar yang terdapat pada polutan air. "" Tetapi para penyelidik mengatakan bahawa mereka tidak perlu terlalu khawatir tentang lele yang mungkin menimbulkan barah. ""Kami juga harus berhati-hati terhadap segala sesuatu yang kita konsumsi,"" katanya. (Seorang pakar bedah plastik yang tidak terlibat dalam kajian ini baru-baru ini mendapati bahawa lele boleh menyebabkan barah."
Hoax,"- Lele di Jawa Timur mempunyai ""tiga. 000 sel kanker"" yang terdapat di kolam dan kandang ayam, tetapi ada yang berpendapat bahawa itu adalah berita buruk bagi mereka yang berharap dapat memiliki pasar yang lebih baik. The Wall Street Journal melaporkan bahawa makalah yang diterbitkan pada 29 Juli 2015 yang diterbitkan oleh Zhang Ri-hong, pemasok lele di China, telah lama menjadi berita utama untuk memanipulasi industri ikan. Tetapi dia mengatakan bahawa dia dan pengikutnya berusaha menghentikan penjualan lele, dan mengingat kisah itu, itu mungkin tidak akan mempengaruhi penjualannya. ""Artikel itu adalah kempen hitam untuk menjatuhkan penjualan pasar lele yang prospek pasarnya terus membaik,"" kata kepala Dinas Perikanan dan Kelautan Jawa Timur, menurut Jurnal. Dia mengatakan bahawa masalah itu hanya berputar pada pasar lele di Jatim. Sebagian besar masalah itu terjadi pada kelompok yang ingin merebut pasar lele dan menggantikannya dengan yang lain. ""Ada pihak yang ingin merebut pasar lele dan menggantikannya dengan komoditas ikan lain,"" kata Heru, yang meminta CBIB untuk ""pakan yang sehat. "" Pengeluaran lele di Jatim, yang dicatat oleh Jurnal meningkat sejak tiga tahun yang lalu, meningkat 2. 000 ton, per Tahun 2014."
Hoax,"- Ikan lele, ikan yang hidup di perairan tawar, mengandung 3. 000 sel kanker, menjadikannya ikan yang paling kotor di antara ikan lain, dan ia juga dapat mengkonsumsi kotoran manusia. Tetapi tidak semua orang gembira mengenainya. Satu kisah di China menunjukkan bahawa ikan lele kotor dan jorok adalah hasil sampingan dari kotoran manusia, dan ia menjadi berita utama kerana kotoran itu juga dijadikan pakan di sebuah fasilitas budidaya lele di China. Namun, penikmat ikan lele meminta agar tidak terpengaruh dengan desas-desus bahawa ikan lele yang dicemari barah itu mengandung sejumlah besar bahan yang bermanfaat bagi kesihatan manusia, lapor Time. ""Kesihatan yang ada pada ikan lele adalah bahawa mereka yang mengonsumsi bahan ini sangat rentan terhadap barah,"" kata seorang pakar kepada Time. ""Sehingga mengkonsumsi ikan lele di Indonesia tidak perlu diragukan kebersihannya. "" (Di tempat lain di California, seorang lelaki dituduh menyeludup haiwan ke tandas dengan kotoran manusia."
Hoax,"- Lele adalah makanan yang enak, tetapi tidak ada yang mengatakan bahawa ia dapat memicu kanker, menurut ahli onkologi. Dradjat R Suardi dari Indonesia mengatakan belum ada penelitian yang pernah melibatkan penyakit ini, dan belum ada yang mengujinya. ""Tidak ada kajian yang menunjukkan bahawa memakan lele dapat memicu kanker,"" katanya kepada Telegraph. Tetapi pakar onkologi mengatakan bahawa lele juga rendah kolesterol, dan bahawa lele adalah sumber protein yang murah. ""Tidak dapat dipungkiri bahwa lele juga rendah kolesterol sepertinya akan menenggelamkan tudingan bahwa lele bisa memicu kanker,"" kata Dradjat. (Dalam berita lele lain, satu keluarga di As telah menemui cara yang tidak biasa untuk menghilangkan rasa sakit."
Valid,"- Ikan lele mengandung 3. 000 sel barah, menurut sebuah artikel yang disiarkan di Internet pada hari Jumaat. The Wall Street Journal melaporkan bahawa lele mengandung asid lemak omega tiga yang setara dengan salmon. Tetapi pakar kanker Indonesia Dradjat R Suardi mengatakan bahawa minyak yang digunakan berkali-kali dengan risiko kanker itu sendiri masih dapat diperdebatkan. Minyak itu mungkin dikaitkan dengan risiko penyakit jantung dan pembuluh darah. Menurut Time, minyak itu sendiri dikaitkan dengan risiko barah. Namun, tidak semua orang yakin bahawa lele dapat memicu kanker. Dradjat mengatakan tidak ada kajian yang menunjukkan bahawa memakan lele dapat memicu kanker berdasarkan sifat ikan tersebut. Tetapi dia mengatakan bahawa tidak ada penelitian yang menunjukkan bahwa lele dapat memicu kanker, karena ""konsumsi racun karsinogen banyak terkandung dalam ikan ini. "" Itu tidak bermaksud lele dapat memicu kanker, tetapi dari minyaknya, kata Dradjat. ""Tidak ada yang mengatakan bahawa makan lele dapat memicu kanker berdasarkan sifat ikan tersebut. "" (Para saintis baru-baru ini menemui cara untuk mencegah barah."
Valid,#NAME?
